FullState(2 4 1 4 3 5 0 1 1)
Iteration: 100
Learning Rate: 0.5
Discount Rate: 0.3
Random Chance: 0.1
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
5 5 1,-00.9922,+00.0000,+00.0000,-00.9922,+00.0000,+00.0000

FullState(4 5 0 4 1 0 3 5 2)
Iteration: 200
Learning Rate: 0.5
Discount Rate: 0.3
Random Chance: 0.1
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+12.7969,+00.0000
1 2 0,+00.0000,-00.7500,-00.5000,+00.9563,+00.0000,+00.0000
1 3 0,+00.0000,-00.8750,-00.7500,-00.7500,+00.0000,+00.0000
1 4 0,+00.0000,-00.9375,-00.9375,-00.9375,+00.0000,+00.0000
