FullState(4 3 0 3 2 4 1 4 1)
Iteration: 100
Learning Rate: 0.3
Discount Rate: 0.3
Random Chance: 0.35
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
4 3 0,-00.3646,-00.5100,-00.5100,-00.5100,+00.0000,+00.0000
4 4 0,-00.3000,-00.5100,-00.4833,-00.4913,+00.0000,+00.0000
4 5 0,-00.5100,+01.0625,+00.0000,+00.0000,+00.0000,+00.0000
5 1 0,-00.8824,+00.0000,-00.8319,+00.0000,+00.0000,+00.0000
5 2 0,-00.7599,+00.0000,-00.6570,-00.7599,+00.0000,+00.0000
5 3 0,-00.7412,+00.0000,-00.7599,-00.7599,+00.0000,+00.0000
5 4 0,-00.5100,+00.0000,-00.1590,-00.5100,+00.0000,+00.0000
5 5 0,+00.0000,+00.0000,+00.0000,+00.0000,+10.8151,+00.0000

State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 1,+00.0000,-00.9718,-00.9596,+00.0000,+00.0000,+00.0000
1 2 1,+00.0000,-00.9176,-00.9176,-00.9176,+00.0000,+00.0000
1 3 1,+00.0000,-00.6570,-00.7599,-00.8319,+00.0000,+00.0000
1 4 1,+00.0000,-00.6176,-00.4678,-00.5100,+00.0000,+00.0000
1 5 1,+00.0000,-00.4962,+00.0000,-00.3000,+00.0000,+00.0000
2 1 1,-00.9176,-00.8824,-00.8824,+00.0000,+00.0000,+00.0000
2 2 1,-00.9176,-00.8319,-00.8319,-00.8319,+00.0000,+00.0000
2 3 1,-00.6570,-00.6570,-00.5100,-00.8319,+00.0000,+00.0000
2 4 1,-00.5100,-00.3000,-00.6099,-00.3000,+00.0000,+00.0000
2 5 1,-00.6558,-00.7572,+00.0000,-00.6208,+00.0000,+10.8151
3 1 1,-00.7599,-00.7599,-00.6570,+00.0000,+00.0000,+00.0000
3 2 1,-00.7599,-00.7599,-00.6570,-00.6570,+00.0000,+00.0000
3 3 1,-00.7599,-00.7599,-00.5100,-00.7599,+00.0000,+00.0000
3 4 1,-00.5054,-00.5100,-00.7599,-00.5100,+00.0000,+00.0000
3 5 1,-00.6273,-00.6570,+00.0000,-00.7599,+00.0000,+00.0000
4 1 1,-00.5100,+00.0867,-00.3000,+00.0000,+00.0000,+00.0000
4 2 1,-00.5100,-00.4646,-00.4259,-00.3000,+00.0000,+00.0000
4 3 1,-00.3000,-00.5006,-00.3000,-00.3000,+00.0000,+00.0000
4 4 1,-00.6570,-00.5100,-00.5100,-00.5850,+00.0000,+00.0000
4 5 1,-00.7544,-00.7599,+00.0000,-00.6570,+00.0000,+00.0000
5 1 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+10.8151
5 2 1,-00.3000,+00.0000,+00.0000,+00.9422,+00.0000,+00.0000
5 3 1,-00.4813,+00.0000,-00.5100,-00.5054,+00.0000,+10.8151
5 4 1,-00.7599,+00.0000,-00.6570,-00.6570,+00.0000,+00.0000
5 5 1,-00.8824,+00.0000,+00.0000,-00.8824,+00.0000,+00.0000

FullState(3 2 0 4 0 3 2 2 4)
Iteration: 100
Learning Rate: 0.3
Discount Rate: 0.3
Random Chance: 0.35
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+11.4706,+00.0000
1 2 0,+00.0000,-00.3000,-00.3000,+00.4634,+00.0000,+00.0000
1 3 0,+00.0000,-00.7610,-00.7599,-00.6570,+00.0000,+00.0000
1 4 0,+00.0000,-00.8319,-00.8824,-00.9424,+00.0000,+00.0000
